task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,key_resp_T1.keys,key_resp_T1.corr,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
single,dual,NUMBERS,LETTERS,7777777.0,7,1,12,f,f,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,24.363361800000348,25.34681130000081,25.34681130000081,25.363472800000636,27.346878199999992,27.346878199999992,27.346878199999992,28.3469496000007,None,0,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,28.3469496000007,29.347132500000043,29.347132500000043,30.347128200000043,LZNYJMC,30.347128200000043,30.380414300000666,30.380414300000666,30.430610500000512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,QHVSFBX,30.430610500000512,30.463736900000185,30.463736900000185,30.513863300000594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,MVCZLDQ,30.513863300000594,30.547070200000235,30.547070200000235,30.597148700000616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,3,0,3,0,,,,,,,,,,,,,,,,,,MKPGXQT,30.597148700000616,30.63065050000023,30.63065050000023,30.680549900000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,4,0,4,0,,,,,,,,,,,,,,,,,,WDHFNYS,30.680549900000187,30.713757100000294,30.713757100000294,30.76381390000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,5,0,5,0,,,,,,,,,,,,,,,,,,MZCYJTG,30.76381390000006,30.79709070000081,30.79709070000081,30.847151200000553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,30.847151200000553,30.88044280000031,30.88044280000031,30.930500100000245,SJXFTBR,30.930500100000245,30.963760399999956,30.963760399999956,31.01382090000061,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,XLMFPNW,31.01382090000061,31.047150900000815,31.047150900000815,31.097086300000228,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,FVJXBNS,31.097086300000228,31.130458399999952,31.130458399999952,31.180613800000174,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,ZGKLYVD,31.180613800000174,31.213843800000177,31.213843800000177,31.263885200000004,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,LPHGTKN,31.263885200000004,31.297226700000465,31.297226700000465,31.347391500000413,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,GPKZHXY,31.347391500000413,31.380481900000632,31.380481900000632,31.430455300000176,,,,,,,,,,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,31.430455300000176,31.46391560000029,31.46391560000029,31.513777500000288,GPKZHXY,31.513777500000288,31.5471105000006,31.5471105000006,31.597173300000577,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDCTBFV,31.597173300000577,31.63061420000031,31.63061420000031,31.680632399999922,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGCPFMB,31.680632399999922,31.71380550000049,31.71380550000049,31.76406610000049,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
single,dual,LIPS,XXIRONX,7777777.0,7,7,6,f,j,0,0,0,0,0,0,2,2,2,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGSVFRZ,31.76406610000049,31.797215399999914,31.797215399999914,31.84715099999994,,,,,,,,,,,,,697190,1,60,en,2024-11-26_15h59.54.693,AB,2023.1.3,59.90901019532984,
