task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,VYKXSPC,0,0,0,0,0,2,2,2,,,,,,,,,0,9,9,2,86.31168919999618,,,,,,,,,,,,,,,,,86.29541589994915,86.31168919999618,86.37861409992911,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SMALL,XCREAMX,2222222.0,7.0,3.0,10.0,f,j,0.0,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.37869399995543,86.37872949999291,None,0,86.37889899988659,86.3949681998929,87.3785320998868,87.3785320998868,87.39505039993674,89.37866799999028,89.37866799999028,89.37866799999028,90.3784914999269,90.36246139998548,None,0,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,3,3,3,,,,,0,0,0,1,,,,,93.26379929995164,,,,,,,,,,,90.36278769990895,90.3784914999269,91.37917419988662,91.37917419988662,92.41754689998925,92.36259569996037,93.04561919998378,93.06201339990366,93.12872999999672,93.1287814999232,93.1453464999795,93.21210909995716,93.25740449992009,93.26379929995164,93.29539309989195,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,VYKXSPC,0,0,0,0,0,3,3,3,,,,,0,1,1,2,,,,,93.31199499999639,,,,,,,,,,,,,,,,,,,,,,,93.29561739997007,93.31199499999639,93.37875489995349,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,ZJTSHFP,0,0,0,0,0,3,3,3,,,,,0,2,2,3,,,,,93.39534579997417,,,,,,,,,,,,,,,,,,,,,,,93.37897889991291,93.39534579997417,93.46208099997602,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,3,3,3,,,,,0,3,3,0,,,,,93.47871459997259,,,,,,,,,,,,,,,,,,,,,,,93.46230039990041,93.47871459997259,93.54542819992639,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,HLFPYXK,0,0,0,0,0,3,3,3,,,,,0,4,4,4,,,,,93.56211359996814,,,,,,,,,,,,,,,,,,,,,,,93.54565839993302,93.56211359996814,93.62876120000146,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,GQKRPDL,0,0,0,0,0,3,3,3,,,,,0,5,5,5,,,,,93.64545079995878,,,,,,,,,,,,,,,,,,,,,,,93.6290024999762,93.64545079995878,93.7121037999168,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,VYKXSPC,0,0,0,0,0,3,3,3,,,,,,,,,0,0,0,2,93.84940809989348,,,,,,,,,,,,,,,,,93.8409538998967,93.84940809989348,93.87889729999006,,,,,,,93.71218529995531,93.72874890000094,93.79541049990803,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,3,3,3,,,,,,,,,0,1,1,1,93.89543009991758,,,,,,,,,,,,,,,,,93.8791522999527,93.89543009991758,93.96210759994574,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
